SolutionIndex, Return, Risk
0,1.010826401,0.030844826
1,1.010767628,0.030444826
2,1.010708856,0.030044826
3,1.010641572,0.029644826
4,1.010569776,0.029244826
5,1.01049798,0.028844826
6,1.010426184,0.028444826
7,1.010354389,0.028044826
8,1.010282593,0.027644826
9,1.010210797,0.027244826
10,1.010139001,0.026844826
11,1.010067205,0.026444826
12,1.009993769,0.026044826
13,1.009918389,0.025644826
14,1.009842313,0.025244826
15,1.009766236,0.024844826
16,1.00969016,0.024444826
17,1.009614083,0.024044826
18,1.009538007,0.023644826
19,1.009461931,0.023244826
20,1.009385854,0.022844826
21,1.009309778,0.022444826
22,1.009233701,0.022044826
23,1.009157625,0.021644826
24,1.009081548,0.021244826
25,1.009005472,0.020844826
26,1.008929395,0.020444826
27,1.008853319,0.020044826
28,1.008777243,0.019644826
29,1.008701166,0.019244826
30,1.00862509,0.018844826
31,1.008549013,0.018444826
32,1.008472937,0.018044826
33,1.00839686,0.017644826
34,1.008320784,0.017244826
35,1.008244707,0.016844826
36,1.008168631,0.016444826
37,1.008092554,0.016044826
38,1.008016478,0.015644826
39,1.007940402,0.015244826
40,1.007864325,0.014844826
41,1.007788249,0.014444826
42,1.007712172,0.014044826
43,1.007611637,0.013644826
44,1.007503494,0.013244826
45,1.00739535,0.012844826
46,1.007287207,0.012444826
47,1.007179063,0.012044826
48,1.007068211,0.011644826
49,1.006948817,0.011244826
50,1.006829423,0.010844826
51,1.006710029,0.010444826
52,1.006589925,0.010044826
53,1.006462392,0.009644826
54,1.006327955,0.009244826
55,1.006187648,0.008844826
56,1.006020382,0.008444826
57,1.005833131,0.008044826
58,1.005645879,0.007644826
59,1.005455535,0.007244826
60,1.005258124,0.006844826
61,1.005046543,0.006444826
62,1.004805289,0.006044826
63,1.004379756,0.005644826
64,1.003894103,0.005244826
65,1.003303303,0.004844826
66,1.002666808,0.004444826
