,Volume
0,
1000,0.844
2000,0.8625
3000,0.854333333333
4000,0.855
5000,0.8334
6000,0.845666666667
7000,0.845571428571
8000,0.844
9000,0.851333333333
10000,0.8425
11000,0.852181818182
12000,0.850333333333
13000,0.847384615385
14000,0.848928571429
15000,0.847333333333
16000,0.850125
17000,0.845764705882
18000,0.855944444444
19000,0.847210526316
20000,0.84885
21000,0.845
22000,0.8485
23000,0.846130434783
24000,0.845416666667
25000,0.85032
26000,0.8505
27000,0.851259259259
28000,0.848285714286
29000,0.848
