,Volume
0,
1000,0.761
2000,0.766
3000,0.736666666667
4000,0.75325
5000,0.742
6000,0.747833333333
7000,0.737285714286
8000,0.750875
9000,0.740777777778
10000,0.7552
11000,0.755181818182
12000,0.74475
13000,0.754384615385
14000,0.749857142857
15000,0.749666666667
16000,0.749
17000,0.747411764706
18000,0.75
19000,0.751736842105
20000,0.7511
21000,0.755285714286
22000,0.752863636364
23000,0.752739130435
24000,0.749708333333
25000,0.74936
26000,0.747615384615
27000,0.752296296296
28000,0.74975
29000,0.750275862069
