SolutionIndex, BNY, ECT, FV
0,50540.23949999999,259677.09399999998,764441.4415910987
1,50604.46549999999,278147.729000002,459274.62002342235
2,49215.51349999997,277840.29799999995,699377.0896331826
3,50070.69999999999,297288.24199999997,625796.6962261457
4,50339.48699999996,317925.718,378762.3260324912
5,50378.518499999984,245705.14899999998,982214.0892505306
6,49988.30099999999,277738.716,906736.0550184423
7,49685.94299999999,315961.11100000003,610954.8132157156
8,49823.07899999998,295882.47000000003,846521.4209883176
9,45048.3935,270306.84,1113757.0719248098
10,50134.84950000001,336014.09799999994,325197.6786653243
11,45297.81099999999,289317.164,1117251.7240464243
12,49921.51949999995,335133.183,586715.1839436421
13,49361.93099999998,315813.629,830800.0331379033
14,48881.00999999999,334637.59699999995,821329.5250049132
15,47730.60999999999,307481.34299999994,1053798.6333577726
16,47046.744000000006,251453.07100000003,1340902.3120253745
17,45730.17250000002,272361.18800000014,1341193.4907055532
18,42871.54449999998,308135.103,1265837.0314422569
19,44022.0785,326146.9350000001,1046613.1198575957
20,43588.23149999997,254373.352,1554625.9688720435
21,45081.145,272494.35799999995,1548130.6303583211
22,44792.87099999999,290523.75399999996,1472859.4189428207
23,43796.238499999985,326535.324,1254996.4236699601
24,42538.09799999998,309731.6169999999,1487238.7485657441
25,49343.922,354364.059,294826.8120794805
26,48454.2925,354883.196,516351.1854150174
27,48598.3905,353146.4260000001,726120.8246581999
28,46161.95400000001,344791.125,1030577.9979693812
29,44175.33249999998,231122.577,1768431.0325193815
30,42895.43049999998,250624.307,1761737.185592622
31,44764.398,344558.552,1237513.0439833049
32,43004.787999999986,328009.49500000005,1462041.0410795244
33,41646.873500000016,272622.889,1759830.641973269
34,42207.83549999998,290665.156,1694902.7020854473
35,39344.40799999999,308939.33299999987,1697722.2464155483
36,37378.311,327164.537,1695240.9644041501
37,39059.78349999998,251229.395,1974477.239202422
38,38077.552,291556.484,1908424.8071977426
39,40975.6045,346108.261,1444549.873540924
40,38937.2375,346049.744,1652749.8231430834
41,37541.60200000001,309583.38700000005,1904649.6827722471
42,36182.75050000002,327589.86000000004,1902185.7654028716
43,35312.32700000001,269701.24100000004,2117800.3882634593
44,34485.67800000001,287711.744,2115364.18544927
45,31520.7335,236874.525,2325229.091701686
