SolutionIndex,NPV ($),CO2 (t)
1,-4541138.71327901,528201.35
2,-3636466.00718453,481378.56
3,-3636797.82488353,482578.45
4,-3638631.69608253,483868.93
5,-3640784.20944563,484881.04
6,-3644336.72108453,485889.25
7,-3647582.84284863,486899.43
8,-3650305.39169053,487908.56
9,-3654832.63105053,488910.9
10,-3658263.85668203,489911
11,-3664115.88537603,490917.71
12,-3670367.22164763,491920.14
13,-3677394.15478203,492930.64
14,-3686805.90339793,493932.58
15,-3694115.02906493,494936.74
16,-3704388.28715403,495939.06
17,-3713352.54192653,496941.6
18,-3722403.67897003,497944.48
19,-3734868.75245803,498957.49
20,-3746459.64780604,499963.53
21,-3759081.71249003,500964.07
22,-3770236.52112903,501969.42
23,-3787226.32449063,502969.62
24,-3804183.60904533,503975.13
25,-3830078.28421503,504975.69
26,-3848759.93722803,505981.33
27,-3871126.02903733,506988.65
28,-3891839.33256133,507992.56
29,-3915616.17242133,509004.05
30,-3938681.60213103,510007.07
31,-3962442.26421633,511014.5
32,-3987980.63099103,512018.24
33,-4010327.05868503,513020.58
34,-4029880.12425633,514023.68
35,-4059028.44618433,515025.82
36,-4087471.43199133,516030.07
37,-4129501.63827913,517036.62
38,-4154041.48062683,518039.08
39,-4209160.86955376,519040.179999992
40,-4242364.28912033,520045.42
41,-4274471.57545333,521048.38
42,-4299393.30840303,522048.9
43,-4362068.72402833,523057.61
44,-4394485.79224533,524068.31
45,-4407781.44376987,525070.609999997
46,-4495846.40986593,526071.9
47,-4531895.24458593,527206.06
