SolutionIndex,NPV(1000USD),Carbon(1000MgT),Habitat(ac)
1,-4541.139,528.2014,407.41
3,-4541.139,528.2014,407.41
51,-4541.139,528.2014,407.41
50,-2937.881,503.0579,395.14
49,-2865.116,503.0256,375.92
48,-2831.588,503.0355,346.87
47,-2820.471,503.0336,284.58
46,-1910.551,478.0188,395.14
45,-1731.088,478.0188,375.92
44,-1594.057,478.0331,346.87
43,-1357.319,453.0185,395.14
42,-1300.445,474.4025,324.21
41,-1252.107,428.0072,407.41
40,-1166.123,474.4188,295.16
39,-1034.535,449.3923,375.92
38,-1004.684,471.7282,276.71
37,-913.9972,424.3892,388.19
36,-756.3067,446.7242,346.87
34,-721.9477,421.7185,369.74
35,-712.6207,466.3431,256.64
33,-663.3368,466.3458,238.19
32,-647.715,466.3784,215.53
31,-637.3163,466.346,183.31
30,-618.9542,466.3367,163.56
29,-537.2683,466.3532,140.9
28,-530.7208,420.4742,353.65
27,-380.4285,441.3351,324.21
26,-325.304,463.5638,111.85
25,-229.9961,416.3201,336.48
24,-85.81847,438.5626,295.16
23,-29.85043,413.5541,314.21
22,90.75191,435.2804,276.71
21,282.9153,410.2375,295.16
20,290.5976,431.4336,256.64
19,405.062,431.4244,238.19
18,443.0994,431.4159,215.53
17,468.7476,406.4154,276.71
16,630.4484,405.773,256.64
15,667.8914,428.5589,183.31
14,801.7092,403.5462,238.19
13,880.6018,401.9008,215.53
12,940.7668,421.4697,164.86
11,1040.217,421.4842,144.79
10,1102.295,396.467,183.31
9,1218.124,418.9568,126.34
8,1253.458,418.9493,103.68
7,1293.932,393.9454,164.86
6,1462.106,392.0859,144.79
5,1656.076,389.3005,126.34
2,1714.741,387.7339,103.68
4,1714.741,387.7339,103.68
