NPV,HAB,PER
2427424,64.3817,13870.13
2426420,53.5536,13843.47
2425602,50.0122,13232.20
2423119,64.9906,15282.53
2423028,64.9906,15019.69
2421908,64.9906,15018.29
2418969,50.0122,12617.20
2418099,64.9906,14470.63
2415660,50.0122,12494.20
2411260,64.3817,13841.60
2406173,50.0122,12419.37
2405536,63.0506,12852.44
2403240,64.9906,14421.06
2397320,79.0436,19061.43
2396885,63.0625,12944.11
2394711,53.5536,11816.52
2394599,54.1967,11717.37
2392750,79.3205,18534.34
2391401,50.9751,11693.99
2389909,85.2725,23121.40
2384276,50.9751,11567.71
2376586,54.1967,11630.38
2373040,101.2655,23252.82
2372633,119.0577,24511.82
2370737,54.1967,11504.11
2369735,64.3817,12425.91
2363936,115.3568,23774.28
2359213,64.3817,12396.45
2358962,114.3939,22847.33
2356242,119.0577,22904.86
2343572,114.3758,22643.42
2329108,64.3817,11844.58
2328331,50.9751,10908.28
2324570,52.7278,10842.33
2318539,50.9751,10719.80
2316392,129.7142,27128.05
2312173,64.3957,11758.53
2311161,136.1711,27616.31
2309828,136.1711,27068.19
2308914,134.9016,26940.51
2308774,136.8799,27676.65
2307766,52.7278,10465.85
2307620,134.9016,26534.56
2304037,135.1071,26330.65
2300308,134.1442,25403.70
2296426,134.1442,24870.07
2291827,136.8799,27539.15
2282356,54.6277,10723.07
2272932,52.019,10456.96
2267005,85.0572,14166.64
2262117,134.6289,23020.84
2259221,50.8986,10414.40
2257823,132.9585,22237.00
2253050,134.6376,22396.02
2250014,152.015,32805.74
2247066,152.015,29987.94
2246197,152.7238,33721.47
2246109,152.015,29496.87
2245058,135.7312,22348.78
2244630,152.7238,30048.27
2243761,152.7238,29699.38
2238791,153.9933,30581.90
2238518,153.9933,30233.01
2236468,152.7238,29114.31
2236222,153.9933,29129.27
2230142,153.9933,28636.33
2222398,153.9933,26564.02
2220586,134.9016,21153.38
2213536,153.9933,26440.09
2212977,153.9933,25939.20
2209136,153.9933,25891.96
2197922,79.0576,13295.81
2195001,79.0576,13252.31
2173991,153.5534,23912.72
2170416,169.8372,36976.56
2170162,169.8372,36671.16
2170051,169.8372,35322.35
2169172,169.8372,32661.70
2167841,169.8372,32547.11
2167741,169.8372,30796.57
2161170,169.8372,30779.27
2153234,169.8372,29660.56
2149822,169.8372,28510.06
2147230,169.0498,27314.19
2146512,169.8372,28462.82
2142211,169.5345,27608.36
2140878,169.8372,28256.11
2135363,169.8372,28208.87
2131164,152.015,21950.31
2129274,169.0498,27099.52
2120290,168.6885,26676.74
2119736,169.8372,28094.76
2119241,169.3973,26090.26
2116598,169.8372,27118.23
2115674,167.1217,25335.42
2111701,169.5345,26116.45
2109708,169.5345,25999.06
2107626,169.8372,25894.30
2101848,169.8372,25797.02
2096879,169.8372,25645.49
2083925,169.8372,24187.25
2073835,169.8372,24112.89
2069926,169.4825,24060.04
2069770,169.8372,23995.97
2061147,169.8372,23890.27
2060526,169.2975,23534.83
2054194,169.8372,23867.35
2018566,169.8372,23773.35
2006963,169.8372,23590.02
2006509,169.8372,23539.51
1999368,167.477,23184.07
1999032,169.8372,23204.18
